title,image link,url,brand,description
Moving Through Images,//3ssstudios.com/cdn/shop/files/1_ab3a9e0d-f460-464f-95a8-323234e6fa03_1080x1530.png?v=1751617507,https://3ssstudios.com/collections/publications/products/moving-through-images,David Gallo,"Moving Through Imagesquestions how images and (visual) reproductions of physical surroundings influence our gaze and perception.This two-part publication was developed as both a tool and result of experimental research that started in Vienna in 2022. One part is an interactive Prompt Book designed to explore, thoroughly experience, and actively engage with physical environments. The other part is a collection of images created by using the Prompt Book, accompanied by texts that critically examine topics such as walking, navigation, perception, and media. With its interwoven content,Moving Through Imagesaddresses questions such as: What are the relationships between what we see and perceive in our physical surroundings and how they are depicted? Is a place perceived differently in its physical form compared to its visual reproductions or simulations?Browsing through a book’s pages is analogous to moving through the streets of a city. One always has only a section of a larger entity in front of one’s eyes—the street through which one is currently moving, a sentence, a paragraph, or a page that one is reading. The often seemingly random connections and correlations between individual fragments and situations must always be discovered first.Concept, design, editor: David GalloAuthors: Jean Baudrillard, Raphael Besenbäck, Jorge Luis Borges, Guy Debord, David Gallo, Carmen Lael Hines, Nadine Monemartedition ·VerlagBibliothek der ProvinzISBN: 978-3-99126-340-1Main volume (20×10 cm, 320 pages, numerous illustrations, softcover in a thread-bound binding with an open book edge) & Prompt Book (20×10 cm, 168 pages, folded, laceable with elastic band and cord)Text in English"
Serial Killers with Head Injuries,//3ssstudios.com/cdn/shop/files/1_094d19c1-e2d0-4b84-9e70-1be5e49c08ff_1080x1530.png?v=1751131892,https://3ssstudios.com/collections/publications/products/serial-killers-with-head-injuries,Alexandra Montclair,Serial Killers with Head Injuries is a zine exploring the violent intersection of traumatic brain injury and murder.RisographStaple Binding8.5”x 5.5”24 Pages2025
10 Signs You Live in a Haunted House,//3ssstudios.com/cdn/shop/files/1_44db0c67-9c4c-4f08-a7f7-0e7127a1fd33_1080x1530.png?v=1707956727,https://3ssstudios.com/collections/publications/products/10-signs-you-live-in-a-haunted-house-1,Alexandra Montclair,This zine explores 10 real spooky signs that you might be living in a haunted house.RisographStaple Binding5.5”x8.5”12 pages2019
Everybody Should Have Busy: 2 Weeks of Signs and Sayings in Japan,//3ssstudios.com/cdn/shop/files/0_76416f88-2990-4985-adac-1a62f9234189_1080x1530.png?v=1707804068,https://3ssstudios.com/collections/publications/products/everybody-should-have-busy-2-weeks-of-signs-and-sayings-in-japan-1,Alexandra Montclair,This zine chronicles two weeks of signs and sayings in English that I encountered in Japan in 2019.RisographSpiral Binding5.5”x8.5”30 pages2019
An Incomplete Radical Feminist Education from the Internet,//3ssstudios.com/cdn/shop/files/5_1b1e3836-859b-4593-b1ac-89ad69d3e4a0_1080x1530.png?v=1720045985,https://3ssstudios.com/collections/publications/products/an-incomplete-radical-feminist-education-from-the-internet-2,Alexandra Montclair,"An Incomplete Radical Feminist Education from the Internet is just that- a collection of material on radical feminism from the internet.Spiral Binding and Laminated Covers in pink, yellow, green, blue, and orange6.75”x 4.5”240pagesSecond Edition January 2025*Cover color assorted*"
The Words of a Gentleman,//3ssstudios.com/cdn/shop/files/0_ab817cdc-6f3a-4340-b74a-54f667e2bd4b_1080x1530.png?v=1707802593,https://3ssstudios.com/collections/publications/products/the-words-of-a-gentleman-1,Alexandra Montclair,This feminist zine features leg closing misogyny collected from around the internet.RisographSpiral Binding5.5”x8.5”36 pages2022
Chutney Magazine #4,//3ssstudios.com/cdn/shop/files/1_c5d69349-4d63-4ec3-a07e-863957d54197_1080x1530.png?v=1750578246,https://3ssstudios.com/collections/publications/products/chutney-magazine-4,Chutney Magazine,"Chutney is an independent magazine focusing on everyday stories of identity and culture told by marginalised or misrepresented voices on their own terms.This fourth issue is a collection of twenty-one stories on culture and identity. Featured inside: Gaza’s sea, cosmic liberation, migrant massage workers, friendship in six pieces, Bosnian tombstones, an erotic manifesto, bodily posturing, cactus paddles, joss paper shirts, homeland dysphoria, tent diplomacy, cultural cannibalism, apples, Yuwaalaraay ancestors, drawing home, past lives, Pustaha rematriation, stitching a landscape, bulldozer violence, Palestine on film, and Pacific Islands ads..With contributions from: Malak Hijazi, Sandy Christ, Amirio Freeman, Audrey Tseng de Melo Fischer, Chong Gu, Jasmine Lo, Vivien Chan, Nadja Lovadinov, Lauren Doughty, Lara Torbay, Afi Venessa Appiah, N.A. Mansour, Jessica Wu, Madeleine Woodhouse, Ibrahim Kombarji, Diogo Serafim, Sinae Park, Tahlia Palmer, Safaa Alnabelseya, Rebecca Mangra, Felix Yang, Romila, María José Durán, Benigna Triviño, María Bethania Campillay, Solange Cortés, Mónica Tobar, María Lobos, Ana María Pérez, Laura Rojas, Shivangi Mariam Raj, Nadine Hijazi, and Mirelle van Tulder.128 x 202mmLondon, UKAnnual or thereaboutsPublished since 2019Editor & Art director: Osman Bari"
TREES OF AMERICA,//3ssstudios.com/cdn/shop/files/1_3bab5af7-3f1e-4249-9b9f-c5a3864e2163_1080x1530.png?v=1750522368,https://3ssstudios.com/collections/publications/products/trees-of-america,Samuel Alexander Forest,"Trees of Americais a book of ten drawings with text that quietly traverses through moments of humor, suspense, and poetry.2019; 2024 third printEdition of 100Pamphlet-bound softcover24 pages10 drawings7 × 5 inches"
THE BOX SET,//3ssstudios.com/cdn/shop/files/set1_1080x1530.png?v=1750521927,https://3ssstudios.com/collections/publications/products/the-box-set,"Samuel Alexander Forest, Robin Gammons, Forrest Knight, Ruoxin Sun, Virgil Warren","The Boxis an anthology of writings by five artists who met and were bonded together through the New York University Studio Art MFA program. Under the two-year guidance of author and educatorDarcey Steinke, each one shares their intimate thoughts, feelings, and memories through their hitherto different lives and art practices until they converged in 2022.Pasts, presents, futures collapse and open up.This book was published in conjunction with their thesis exhibitionSpyglass at 80WSEin 2024.This deluxe package comes with a cassette tape of the artists each reading two of their pieces, along with an access code to redeema digital version.2024Foreword by Darcey SteinkeEdition of 45Softcover book with cassette in folder88 pages7¹⁄₂ × 5 inches (book); 9 × 9 inches (overall)"
Railing Codex,//3ssstudios.com/cdn/shop/files/1_b4d6afb5-f035-4ede-a26e-7f109b5f0340_1080x1530.png?v=1750370427,https://3ssstudios.com/collections/publications/products/railing-codex,Pararailing,"Railing Codex is an installation, a community printshop, and a collective dictionary created by Pararailing (Jie Shao, Sixing Xu and Xuecan Ye), their friends, and friends of their friends. Launched in 2022 as a response to the slippage of meaning that marks our post-pandemic world, Railing Codex invites cultural practitioners—artists, curators, writers, poets, scholars, and arts workers—to each contribute a dictionary defnition for a word.This project has now been materialized into an artist’s book in the form of a slanted dictionary which collects the frst eight volumes of Railing Codex. In each volume, contributors select one word from a designated list and interpret it in their chosen genre and language. Then, contributors each select one word from their respective entry and nominate a writer to participate in the next volume. The nominated writer chooses from this new list of words to continue writing.Artist:Pararailing (Jie Shao, Sixing Xu and Xuecan Ye)Design/Art Direction: RELATED DEPARTMENTTranslation: Jaime Chu, Mike Fu, Jiajing Lily Sun, Sixing Xu, Allen YoungEnglish Copy Editing: Andrea Chu, Kate Costello, Jeff Crosby, Matt Turner, Aaris Woo10cm x 13.5cmPublished by Page Bureau, 2025"
